,start_station_id,start_station_latitude,start_station_longitude,start_station_name,average_daily_rides,postalCode
79,289,40.6845683,-73.95881081,Monroe St & Classon Ave,5.666666666666667,11238
80,290,40.76020258,-73.96478473,2 Ave & E 58 St,43.666666666666664,10022
81,291,40.713126,-73.984844,Madison St & Montgomery St,22.666666666666668,10002
82,293,40.73028666,-73.9907647,Lafayette St & E 8 St,152.33333333333334,10003
83,294,40.73049393,-73.9957214,Washington Square E,73.0,10003
84,295,40.71406667,-73.99293911,Pike St & E Broadway,21.333333333333332,10002
85,296,40.71413089,-73.9970468,Division St & Bowery,33.0,10002
86,297,40.734232,-73.986923,E 15 St & 3 Ave,47.666666666666664,10003
87,298,40.68683208,-73.9796772,3 Ave & Schermerhorn St,3.6666666666666665,11217
88,300,40.728145,-73.99021400000001,Shevchenko Pl & E 6 St,38.666666666666664,10003
89,301,40.72217444,-73.98368779,E 2 St & Avenue B,52.333333333333336,10009
90,302,40.72082834,-73.97793172,Avenue D & E 3 St,19.0,10009
91,303,40.72362738,-73.99949601,Mercer St & Spring St,50.0,10012
92,304,40.70463334,-74.01361706,Broadway & Battery Pl,30.666666666666668,10004
93,305,40.76095756,-73.96724467,E 58 St & 3 Ave,59.333333333333336,10022
94,306,40.70823502,-74.00530063,Cliff St & Fulton St,43.0,10038
95,307,40.71427487,-73.98990025,Canal St & Rutgers St,49.333333333333336,10002
96,308,40.71307916,-73.99851193,St James Pl & Oliver St,25.333333333333332,10038
97,309,40.7149787,-74.013012,Murray St & West St,31.0,10007
98,310,40.68926942,-73.98912867,State St & Smith St,27.333333333333332,11201
99,311,40.7172274,-73.98802084,Norfolk St & Broome St,38.666666666666664,10002
100,312,40.722055,-73.989111,Allen St & E Houston St,48.333333333333336,10002
101,313,40.69610226,-73.96751037,Washington Ave & Park Ave,10.333333333333334,11205
102,314,40.69424674,-73.99215922,Montague St & Clinton St,20.666666666666668,11201
104,316,40.70955958,-74.00653609,Fulton St & William St,32.666666666666664,10038
105,317,40.72453734,-73.98185424,E 6 St & Avenue B,57.333333333333336,10009
106,318,40.75320159,-73.9779874,E 43 St & Vanderbilt Ave,103.33333333333333,10017
107,319,40.71336124,-74.00937622,Park Pl & Church St,45.333333333333336,10007
108,320,40.71743998,-74.00583475,Church St & Leonard St,35.0,10013
109,321,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl,1.0,11201
110,322,40.696192,-73.991218,Clinton St & Tillary St,12.333333333333334,11201
111,323,40.69236178,-73.98631746,Lawrence St & Willoughby St,75.0,11201
112,324,40.689888,-73.981013,DeKalb Ave & Hudson Ave,20.666666666666668,11201
113,325,40.73624527,-73.98473765,E 19 St & 3 Ave,59.333333333333336,10003
114,326,40.72953837,-73.98426726,E 11 St & 1 Ave,64.0,10003
115,327,40.7153379,-74.01658354,Vesey Pl & River Terrace,80.66666666666667,10282
116,328,40.72405549,-74.00965965,Watts St & Greenwich St,51.333333333333336,10013
117,329,40.72043411,-74.01020609,Greenwich St & N Moore St,58.333333333333336,10013
118,330,40.71450451,-74.00562789,Reade St & Broadway,33.0,10007
119,331,40.71173107,-73.99193043,Pike St & Monroe St,16.333333333333332,10002
120,332,40.71219906,-73.97948148,Cherry St,21.333333333333332,10002
